creationTime,0,1,2,3,4,5,6,7,8,9,10
1522629260957,chicago/traffic-lane/41/thing/traffic-lane/1522629260957,,thing/traffic-lane,,19,-1,chicago/traffic-lane/41,-87.7249869344,41.8661711575,41.8752753838,-87.7253813295
1522629261176,chicago/traffic-lane/197/thing/traffic-lane/1522629261176,,thing/traffic-lane,,25,-1,chicago/traffic-lane/197,-87.7849627555,41.909248873,41.9091729382,-87.7948024476
1522629262133,chicago/traffic-lane/169/thing/traffic-lane/1522629262133,,thing/traffic-lane,,17,-1,chicago/traffic-lane/169,-87.7329622535,41.7932531887,41.7931681777,-87.7419834738
1522630221887,chicago/traffic-lane/200/thing/traffic-lane/1522630221887,,thing/traffic-lane,,14,-1,chicago/traffic-lane/200,-87.7557943854,41.9096384783,41.9095159354,-87.7657229523
1522630221975,chicago/traffic-lane/19/thing/traffic-lane/1522630221975,,thing/traffic-lane,,34,-1,chicago/traffic-lane/19,-87.7201006039,41.6912676378,41.6985611194,-87.7205138378
1522630222047,chicago/traffic-lane/14/thing/traffic-lane/1522630222047,,thing/traffic-lane,,33,-1,chicago/traffic-lane/14,-87.772065026,41.7926796968,41.7924861906,-87.77935
1522630222154,chicago/traffic-lane/180/thing/traffic-lane/1522630222154,,thing/traffic-lane,,20,-1,chicago/traffic-lane/180,-87.6256995376,41.7947803916,41.7946718587,-87.6311253178
1522630222304,chicago/traffic-lane/171/thing/traffic-lane/1522630222304,,thing/traffic-lane,,27,-1,chicago/traffic-lane/171,-87.7136045062,41.7934149656,41.7933416014,-87.7231576487
1522630220785,chicago/traffic-lane/39/thing/traffic-lane/1522630220785,,thing/traffic-lane,,9,-1,chicago/traffic-lane/39,-87.7245751041,41.8515455888,41.8588673534,-87.7248408908
1522630220988,chicago/traffic-lane/53/thing/traffic-lane/1522630220988,,thing/traffic-lane,,25,-1,chicago/traffic-lane/53,-87.7274333564,41.9536468185,41.9596128313,-87.7276617396
1522630221131,chicago/traffic-lane/42/thing/traffic-lane/1522630221131,,thing/traffic-lane,,10,-1,chicago/traffic-lane/42,-87.7252950746,41.8752753838,41.8819364677,-87.7255863086
1522630221488,chicago/traffic-lane/13/thing/traffic-lane/1522630221488,,thing/traffic-lane,,27,-1,chicago/traffic-lane/13,-87.7818044315,41.7924861906,41.7922933877,-87.7915747868
1522630221735,chicago/traffic-lane/21/thing/traffic-lane/1522630221735,,thing/traffic-lane,,33,-1,chicago/traffic-lane/21,-87.7207247188,41.7059018917,41.7131708566,-87.7210108659
